Código,Nome da Sociedade,Data,Data_original,Endereço,Licença,Estatuto,Notação-GIFI,Tipo de licença,Obs,Presidente,Licença anterior,Nomes/Sujeitos,Doc policial,Tipo_licenca_categoria,Tipo_licenca_componentes
154,grupo carnavalesco flor do cruzeiro,1906-02-16,16/02/1906,avenida da fábrica tecidos cruzeiro,1,0,6c170,sair no carnaval,só se organiza no carnaval,,0,0,0,desfile_carnavalesco,desfile_carnavalesco
155,grupo afilhados dos caprichosos,1906-02-19,19/02/1906,"rua josé dos reis, 26",1,0,6c170,sair no carnaval,só se organiza no carnaval,,0,0,0,desfile_carnavalesco,desfile_carnavalesco
156,clube carnavalesco familiar filhos dos democráticos,1906-02-08,08/02/1906,"rua presidente barroso, 53",1,0,6c170,aprovação dos estatutos e ensaios,,,0,0,0,estatutos,ensaio|estatutos
157,grupo carnavalesco estrela dos navegantes,1906-02-17,17/02/1906,"rua pernambuco, 46 A",1,0,6c170,sair no carnaval,,,0,0,0,desfile_carnavalesco,desfile_carnavalesco
158,catumby clube,1906-02-19,19/02/1906,"rua do cunha, 46",1,0,6c170,sair com zé pereira e carro de ideia,,,0,0,0,desfile_carnavalesco,carros_alegorias|desfile_carnavalesco|ze_pereira
159,grupo carnavalesco estrela da concordia,1906-02-07,07/02/1906,"rua da floresta, 55",1,0,6c170,sair no carnaval,só se organiza no carnaval,,0,0,0,desfile_carnavalesco,desfile_carnavalesco
160,grupo carnavalesco união do cruzeiro,1906-02-19,19/02/1906,"travessa josé do patrocínio, 9",1,0,6c170,sair no carnaval,só se organiza no carnaval,,0,0,0,desfile_carnavalesco,desfile_carnavalesco
161,grêmio carnavalesco familiar caprichosos de benfica,1906-02-13,13/02/1906,"rua de benfica, 98",0,0,6c170,sair no carnaval,,,0,0,0,desfile_carnavalesco,desfile_carnavalesco
162,grupo carnavalesco da boa ideia,1906-02-24,24/02/1906,"rua da misericórdia, 23",1,0,6c170,sair no carnaval,só se organiza no carnaval,,0,0,0,desfile_carnavalesco,desfile_carnavalesco
163,sociedade carnavalesca estrela da boa vista,1906-02-14,14/02/1906,"rua visconde de sapucahy, 43",1,0,6c170,licença para funcionar,,,0,0,0,licenca_anual,licenca_anual
164,sociedade carnavalesca chuveiro de prata,1906-02-17,17/02/1906,"rua fernando guimarães, 54",1,0,6c170,sair no carnaval,,,0,0,0,desfile_carnavalesco,desfile_carnavalesco
165,sociedade carnavalesca heras [evas?] da mocidade,1906-02-01,01/02/1906,rua marquez de pombal. 30,1,0,6c170,aprovação de estatutos e licença anual,,,0,0,0,estatutos_anual,estatutos|licenca_anual
166,clube dos galos,1906-02-05,05/02/1906,"rua theodoro da silva, 58",0,0,6c170,aprovação de estatutos e licença anual,,,0,0,0,estatutos_anual,estatutos|licenca_anual
167,grupo carnavalesco flor da mocidade,1906-02-22,22/02/1906,ilha de paqueta,1,0,6c170,sair no carnaval,só se organiza no carnaval,,0,0,0,desfile_carnavalesco,desfile_carnavalesco
168,clube carnavalesco caprichosos de jacarepaguá,1906-02-12,12/02/1906,ilegível,1,0,6c170,funcionar durante o ano,,,0,0,0,licenca_anual,licenca_anual
169,clube dançante carnavalesco lira dos operários,1906-01-18,18/01/1906,"rua ruphino de almeida, 8, vila isabel",1,1,6c170,funcionar durante o ano,,,0,0,0,licenca_anual,licenca_anual
