Código,Nome da Sociedade,Data,Data_original,Endereço,Licença,Estatuto,Notação-GIFI,Tipo de licença,Obs,Presidente,Licença anterior,Nomes/Sujeitos,Doc policial,Tipo_licenca_categoria,Tipo_licenca_componentes
272,grupo carnavalesco triunfo das ondas do mar,1906-02-13,13/02/1906,"rua dr. Affonso cavalcanti, 17",1,0,6c171,sair no carnaval,,eurico da rocha pinto,0,0,0,desfile_carnavalesco,desfile_carnavalesco
273,grêmio carnavalesco diamantes do catete,1906-02-22,22/02/1906,"rua barão de guaratiba, 73",0,0,6c171,sair no carnaval,sócio e residencias,manuel jose perera,0,1,0,desfile_carnavalesco,desfile_carnavalesco
274,bando fantasiado teimosos do mato alto,1906-02-11,11/02/1906,freguesia de guaratiba,0,0,6c171,sair no carnaval,"sócios, se organiza apenas para o carnaval",miguel joaquim barbosa (chefe),0,1,0,desfile_carnavalesco,desfile_carnavalesco
275,grêmio carnavalesco cajú de ouro,1906-02-20,20/02/1906,"rua senador pompeu, 128",1,0,6c171,sair no carnaval,,josé maurício monteiro (secretário),0,0,0,desfile_carnavalesco,desfile_carnavalesco
276,grupo fantasiado,1906-02-23,23/02/1906,"sapopemba, fazenda são bernardo",0,0,6c171,sair no carnaval,,josé ferreira de mello,0,0,0,desfile_carnavalesco,desfile_carnavalesco
277,grêmio carnavalesco destemindos do inferno,1906-02-21,21/02/1906,"rua do hospício, 322",1,0,6c171,sair no carnaval,sócios e residências,leopoldo [?],0,1,0,desfile_carnavalesco,desfile_carnavalesco
278,grupo carnavalesco recreativo chuveiro de ouro,1906-02-17,17/02/1906,"rua lopes quintas, 8, gávea",1,0,6c171,sair no carnaval,"diretoria, sócios e residências",francisco cardozo pires,0,1,0,desfile_carnavalesco,desfile_carnavalesco
279,sociedade carnavaelsca filhos da lira,1906-02-21,21/02/1906,"rua d. laura de araújo, 86, cidade nova",1,0,6c171,sair no carnaval,,gabriel alves d'oliveira,0,0,0,desfile_carnavalesco,desfile_carnavalesco
280,sociedade carnavalesca filhos de botafogo,1906-02-16,16/02/1906,"rua sorocaba, 47",1,0,6c171,sair no carnaval,,horacio grillo,0,0,0,desfile_carnavalesco,desfile_carnavalesco
281,sociedade carnavalesca prazer de pedra encantada,1906-02-24,24/02/1906,"travessa aguiar, 1",1,0,6c171,sair no carnaval,,Mario gomes fortes,1,0,0,desfile_carnavalesco,desfile_carnavalesco
282,sociedade dançante carnavalesca triunfo dos caçadores das montanhas,1906-02-12,12/02/1906,"rua santo amaro, 43",1,0,6c171,sair no carnaval,,moyses zacharias da silva,1,0,0,desfile_carnavalesco,desfile_carnavalesco
283,clube carnavalesco triunfo de são christóvão,1906-02-14,14/02/1906,"rua conde leopoldina, 4",1,0,6c171,sair no carnaval,,domingos antonio pires,1,0,0,desfile_carnavalesco,desfile_carnavalesco
284,grupo carnavalesco filhos das campinas,1906-02-19,19/02/1906,"rua argentina reis, 11",1,0,6c171,sair no carnaval,ver img 4178 e 4179,domingos de azevedo freitas (vice),1,0,0,desfile_carnavalesco,desfile_carnavalesco
285,clube familiar de botafogo,1906-02-23,23/02/1906,"rua são clemente, 19",1,0,6c171,sair no carnaval com zé pereira,sócios e residências,antonio gomes dias,1,1,0,desfile_carnavalesco,desfile_carnavalesco|ze_pereira
286,clube recreativo dos decididos de botafogo,1906-02-17,17/02/1906,"rua general mena barreto, 46 - A",1,0,6c171,sair no carnaval,,agenor rodrigo de miranda,1,0,0,desfile_carnavalesco,desfile_carnavalesco
287,sociedade carnavalesca dalhia de ouro,1906-02-22,22/02/1906,"rua do general caldwell, 143",0,0,6c171,sair no carnaval,,a[ilegível] de oliveira rocha,0,0,0,desfile_carnavalesco,desfile_carnavalesco
288,grupo carnavalesco filhos dos caçadores da montanha,1906-02-12,12/02/1906,"rua senador nabuco, 2 B, vila isabel",1,0,6c171,ensaiar e sair no carnaval,"só se organiza no carnaval, sócios e residências",cesario moreira (secretário),0,1,0,desfile_ensaio,desfile_carnavalesco|ensaio
289,sociedade carnavalesca dragão de ouro,1906-02-24,24/02/1906,"rua laurinho rabello, 34",0,0,6c171,sair no carnaval,,josé de sá bastos,1,0,0,desfile_carnavalesco,desfile_carnavalesco
290,sociedade dançante carnavalesca filhos da estrela dos diamantes,1906-02-15,15/02/1906,"rua do catete, 203",1,0,6c171,sair no carnaval,sócios e moradias,antonio marinho,1,1,0,desfile_carnavalesco,desfile_carnavalesco
291,grupo carnavalesco filhos dos artistas,1906-02-15,15/02/1906,"rua barão de mesquita, 24",1,0,6c171,sair no carnaval,,américo camillo,1,0,0,desfile_carnavalesco,desfile_carnavalesco
292,grupo carnavalesco teimosos da conceição,1906-02-12,12/02/1906,"rua mato grosso, 1",1,0,6c171,sair no carnaval,,alberto domingos alves,1,0,0,desfile_carnavalesco,desfile_carnavalesco
293,grupo carnavalesco caprichosos de santa theresa,1906-02-22,22/02/1906,"rua ermelinda, 23 A",1,0,6c171,sair no carnaval,,peregrino mazuchelli,1,0,0,desfile_carnavalesco,desfile_carnavalesco
294,grêmio carnavalesco facho da liberdade,1906-02-23,23/02/1906,"rua d. feliciana, 51 G",1,0,6c171,sair no carnaval,sócios e moradias,silvestre soares,1,1,0,desfile_carnavalesco,desfile_carnavalesco
295,sociedade dançante carnavalesca união das flores,1906-02-22,22/02/1906,rua senado euzébio. 166,1,0,6c171,sair no carnaval,,estevão alves,1,0,0,desfile_carnavalesco,desfile_carnavalesco
296,grupo carnavalesco filhos do mar,1906-02-20,20/02/1906,"rua são luiz gonzaga, 323",1,0,6c171,sair no carnaval,,arlindo leão costa,1,0,0,desfile_carnavalesco,desfile_carnavalesco
297,grupo carnavalesco flor da gávea,1906-02-19,19/02/1906,"rua dr. Dias ferreira, 5",1,0,6c171,sair no carnaval,,josé francisco da costa,1,0,0,desfile_carnavalesco,desfile_carnavalesco
298,grupo carnavalesco botão de ouro,1906-02-22,22/02/1906,"rua barão de são félix, 37",1,0,6c171,sair no carnaval,"só se organiza no carnaval, sócios",carlos luiz brandão,0,1,0,desfile_carnavalesco,desfile_carnavalesco
299,sociedade carnavalesca prazer do leme,1906-02-15,15/02/1906,"rua barrozo, A7",1,0,6c171,funcionar no corrente ano,sócios e moradias,francisco antonio carvalho,1,1,0,licenca_anual,licenca_anual
300,clube carnavalesco caprichosos dos cajueiros,1906-02-20,20/02/1906,"rua barão de são felix, 99",1,0,6c171,sair no carnaval,,feliciano vicente ferreira,1,0,0,desfile_carnavalesco,desfile_carnavalesco
301,grêmio recreatico carnavalesco flor da primavera,1906-02-19,19/02/1906,"rua das laranjeiras, 128",1,0,6c171,sair no carnaval,,joaquim ferreira lanas,1,0,0,desfile_carnavalesco,desfile_carnavalesco
302,"grupo vitoriano, filiado ao congresso dramático doze de novembro",1906-02-16,16/02/1906,"rua bom jardim, 58",1,0,6c171,licença anual,diretoria,,1,1,0,licenca_anual,licenca_anual
303,grupo carnavalesco sereia de ouro,1906-02-14,14/02/1906,"rua petrocogino, 3",1,0,6c171,licença anual,,onofre souza marques,1,0,0,licenca_anual,licenca_anual
304,grupo dos engrossas,1906-02-24,24/02/1906,bairro do catete,0,0,6c171,sair no carnaval com zé pereira,,rafael de vincente filho,0,0,0,desfile_carnavalesco,desfile_carnavalesco|ze_pereira
305,grupo carnavalesco joão paulino,1906-02-12,12/02/1906,"rua do engenho de dentro, 15",1,0,6c171,sair no carnaval,"Só se organiza no carnaval, sócios e moradias",affonso teixeira,0,1,0,desfile_carnavalesco,desfile_carnavalesco
306,sociedade dançante carnavalesca flor da marítima,1906-02-23,23/02/1906,,1,0,6c171,sair no carnaval,sócios e moradias,guilherme ricardo,0,1,0,desfile_carnavalesco,desfile_carnavalesco
307,grupo carnavalesco descarados do catete,1906-02-10,10/02/1906,"rua do paissandu, 1",1,0,6c171,sair no carnaval com zé pereira,sócios e moradias,antonio torres,1,1,0,desfile_carnavalesco,desfile_carnavalesco|ze_pereira
308,grupo carnavalesco não estou ligando,1906-02-13,13/02/1906,"rua são leopoldo, 177",1,0,6c171,sair no carnaval,"só sai no carnaval, sócios e moradias",rubens conceição,0,1,0,desfile_carnavalesco,desfile_carnavalesco
309,clube tenentes do diabo,1906-02-22,22/02/1906,"avenida passos, 54",1,0,6c171,sair no carnaval,itinerário,joaquim da silva paranhos (secretário),1,0,0,desfile_carnavalesco,desfile_carnavalesco
310,clube dos democráticos,1906-02-09,09/02/1906,,1,0,6c171,itinerário,,angelo do valle (secretário),0,0,0,itinerario,itinerario
311,clube carnavalesco caprichosos de são christóvão,1906-02-23,23/02/1906,"rua de são christóvão, 353",1,0,6c171,sair no carnaval,,josé cayro silva,1,0,0,desfile_carnavalesco,desfile_carnavalesco
312,sociedade carnavalesca filhos do relampago do novo mundo,1906-02-25,25/02/1906,"rua da providencia, 65",0,0,6c171,sair no carnaval,,edmundo antonio costa (secretario),1,0,0,desfile_carnavalesco,desfile_carnavalesco
313,grupo flor da união,1906-02-22,22/02/1906,"travessa comendador leonardo, 3",1,0,6c171,sair no carnaval,ver img 4273,francisco baptista cardoso,1,0,0,desfile_carnavalesco,desfile_carnavalesco
314,clube dos aborrecidos,1906-02-14,14/02/1906,"rua visconde de itauna, 229",1,0,6c171,sair no carnaval,,sebastião ribeiro gomes,1,0,0,desfile_carnavalesco,desfile_carnavalesco
315,sociedade carnavalesca novo cupido de ouro,1906-02-23,23/02/1906,"rua dr. Co [?] netto, 145",1,0,6c171,sair no carnaval,,,1,0,0,desfile_carnavalesco,desfile_carnavalesco
316,sociedade carnavalesca dançante familiar triunfo da camélia,1906-02-13,13/02/1906,"rua de são pedro, 295",1,0,6c171,sair no carnaval,,aprigio fernando de vasconcellos,1,0,0,desfile_carnavalesco,desfile_carnavalesco
317,grupo carnavalesco,1906-02-14,14/02/1906,"grumarim, uaratiba",1,0,6c171,sair no carnaval,,francisco caldeira de alvarenga,0,0,0,desfile_carnavalesco,desfile_carnavalesco
318,grupo carnavalesco estrela de ouro da saúde,1906-02-22,22/02/1906,"rua da saúde, 166, sobrado",1,0,6c171,sair no carnaval,,narciso ribeiro da costa,1,0,0,desfile_carnavalesco,desfile_carnavalesco
319,sociedade carnavalesca estrela da boa esperança,1906-01-31,31/01/1906,"rua barão de ipanema, 5, copacabana",1,0,6c171,sair no carnaval,ver tb img 4288 e 4289,antonio nunes vieira le lima,1,0,0,desfile_carnavalesco,desfile_carnavalesco
320,clube pavilhão brasileiro,1906-02-13,13/02/1906,"praça da aclamação, 17",1,0,6c171,licença anual,,appolinario de oliveira,1,0,0,licenca_anual,licenca_anual
321,sociedade particular musical união dos artistas,1906-02-15,15/02/1906,"rua do senador pompeu, 128, sobrado",1,0,6c171,licença anual,,arnaldo paz (secretário),1,0,0,licenca_anual,licenca_anual
322,sociedade carnavalesca pombinha de ouro,1906-02-15,15/02/1906,"rua da matriz, 58",1,0,6c171,licença anual,,alfredo luiz tuller,1,0,0,licenca_anual,licenca_anual
323,grupo turunas engarrafados,1906-02-19,19/02/1906,,1,0,6c171,passeata,itinerário,angeterio cardoso (secretário),1,0,0,passeata,passeata
324,grêmio carnavalesco heróis navegantes,1906-02-19,19/02/1906,"rua cezaria, 33",1,0,6c171,sair no carnaval,"só se organiza no carnval, sócios",angelo gomes,0,1,0,desfile_carnavalesco,desfile_carnavalesco
325,grupo dos corcundas,1906-02-24,24/02/1906,"rua conselheiro saraiva, 7",1,0,6c171,sair no carnaval,"só se organiza no carnval, sócios (4309 e 4310)",joaõ henrique caprilli,0,1,0,desfile_carnavalesco,desfile_carnavalesco
326,sociedade carnavalesca teimozoz das chamas,1906-02-23,23/02/1906,rua general caldwell. 147,1,0,6c171,passeata,,Jayme duarte de farias,1,0,0,passeata,passeata
327,custódio martins e Cia,,,"rua sete de setembro, 11",1,0,6c171,carro de propaganda,,,0,0,0,carros_alegorias,carros_alegorias
328,sociedade dançante familiar do catete,1906-02-24,24/02/1906,"rua do catete, 269",1,0,6c171,sair no carnaval,,joão s. da roza,1,0,0,desfile_carnavalesco,desfile_carnavalesco
329,sociedade dançante carnavalesca união das flores,1906-02-13,13/02/1906,"rua senador euzebio, 166",1,0,6c171,licença anual,,estevão alves,1,0,0,licenca_anual,licenca_anual
330,grupo carnavalescoo flor dos navegantes (outrora triunfo  da iaiá),1906-02-08,08/02/1906,"rua senador pompeu, 62",1,1,6c171,sair no carnaval,,luiz gusman,0,0,0,desfile_carnavalesco,desfile_carnavalesco
331,sociedade carnavalesca novo cupido de ouro,1906-02-23,23/02/1906,"rua dr. Carmo netto, 145",1,0,6c171,sair no carnaval,sócios e moradias,cicero frança xavier,1,1,0,desfile_carnavalesco,desfile_carnavalesco
332,clube carnavalesco união das costureiras,1906-02-24,24/02/1906,"rua do livramento, 58",1,0,6c171,sair no carnaval,,joão da cruz silva freira,1,0,0,desfile_carnavalesco,desfile_carnavalesco
333,grupo carnavalesco recreio da mocidade,1906-02-20,20/02/1906,,1,0,6c171,sair no carnaval,sócios e moradias,anysio manoel gonçalves,0,1,0,desfile_carnavalesco,desfile_carnavalesco
334,grupo carnavalesco flor do castelo,1906-02-07,07/02/1906,"rua do castelo, 32",1,0,6c171,sair no carnaval,diretoria e moradias,josé alves pereira,1,1,0,desfile_carnavalesco,desfile_carnavalesco
335,clube tijuca,1906-02-18,18/02/1906,"rua  conde de bonfim, 48",1,0,6c171,escolta policial,,c. flores (secretário),0,0,0,escolta_policial,escolta_policial
336,grupo cavaignacs de arrelia,1906-02-08,08/02/1906,"rua general camara, 32",1,0,6c171,sair no carnaval,"só se organiza no carnaval, sócios e moradias",asterio porciuncula anderete dande[?],0,1,0,desfile_carnavalesco,desfile_carnavalesco
337,sociedade pingas carnavalescos,1906-02-22,22/02/1906,"rua do engenho de dentro, 23",1,0,6c171,sair no carnaval,"pessoal que compõe o préstito, carros, sócios",joão maximo cordeiro (secretario),0,1,0,desfile_carnavalesco,desfile_carnavalesco
338,sociedade carnavalesca lira brasileira,1906-02-16,16/02/1906,"rua laura, 16",1,1,6c171,aprovação de estatuto e licença anual,,leopoldo da costa nery,0,0,0,estatutos_anual,estatutos|licenca_anual
339,clube dançante carnavalesco prazer da prainha,1906-02-20,20/02/1906,"rua visconde de itaúna  , 44",0,0,6c171,sair no carnaval,,pofírio  joaquim da silva,1,0,0,desfile_carnavalesco,desfile_carnavalesco
340,gremio carnavalesco mulher vermelha,1906-02-16,16/02/1906,"rua de são leopoldo, 177",1,0,6c171,sair no carnaval,"só se organiza no carnaval, sócios e moradias",primitivo liberato brazil,0,1,0,desfile_carnavalesco,desfile_carnavalesco
341,gremio dançante saudades do rio douro,1906-02-22,22/02/1906,"rua pedro americo, 28",1,0,6c171,licença anual,,helena ormind [?] da silva,1,0,0,licenca_anual,licenca_anual
342,sociedade carnavalesca prazer do leme,1906-02-24,24/02/1906,"rua do barrozo, 17",1,0,6c171,sair no carnaval,,joão antonio rozas,1,0,0,desfile_carnavalesco,desfile_carnavalesco
343,clube tenentes do diabo,1906-02-23,23/02/1906,"avenida passos, 57",1,0,6c171,licença anual,,joaquim silva paranhus,1,0,0,licenca_anual,licenca_anual
344,clube carnavalesco filhos do poder de ouro,1906-02-12,12/02/1906,"rua do alcantara, 124",1,0,6c171,sair no carnaval,sócios 4419-20,lucido da silva,1,1,0,desfile_carnavalesco,desfile_carnavalesco
345,grupo carnavalesco serpentinas de ouro,1906-02-24,24/02/1906,"rua do propósito, 11",1,0,6c171,sair no carnaval,,antonio  nogueira,1,0,0,desfile_carnavalesco,desfile_carnavalesco
346,grêmio carnavalesco cravinho de ouro,1906-02-20,20/02/1906,"rua boulevard 28 de setembro, 65, vila isabel",1,0,6c171,sair no carnaval,sócios e moradias - ver tb img 4475,josé florentino,0,1,0,desfile_carnavalesco,desfile_carnavalesco
347,[sem denominação],1906-02-23,23/02/1906,,1,0,6c171,sair fantasiados no carnaval,máscaras avulsos,,0,0,0,desfile_carnavalesco,desfile_carnavalesco
348,grupo carnavalesco lira do castelo,1906-02-06,06/02/1906,"ladeira do castelo, 10",1,0,6c171,sair no carnaval,sócios e moradias,augusto martins,0,1,0,desfile_carnavalesco,desfile_carnavalesco
349,grupo carnavalesco triunfo da inveja,1906-02-06,06/02/1906,"rua do castelo, 23",1,0,6c171,sair no carnaval,sócios e moradias,daniel carlos,0,1,0,desfile_carnavalesco,desfile_carnavalesco
350,grupo carnavalesco familiar prazer do castelo,1906-02-10,10/02/1906,"praça do castelo, 2",1,0,6c171,sair no carnaval,"diretoria, sócios e moradias",luiz dos santos,1,1,0,desfile_carnavalesco,desfile_carnavalesco
351,clube 24 de maio,1906-02-18,18/02/1906,"rua 24 de maio, 145",1,0,6c171,licença anual,,joaquim bodigarde de vasconcelos,1,0,0,licenca_anual,licenca_anual
352,grupo carnavalesco inimigos do trabalho,1906-02-19,19/02/1906,"rua do hadock lobo, 92",1,0,6c171,sair no carnaval com zé pereira,,zeferino pereira de menezes,0,0,0,desfile_carnavalesco,desfile_carnavalesco|ze_pereira
353,sociedade dançante carnavalesca amantes do sereno,1906-02-12,12/02/1906,"rua dr. Rego barros, 35",0,0,6c171,sair no carnaval,,henrique costa guimarães,1,0,0,desfile_carnavalesco,desfile_carnavalesco
354,sociedade dançante carnavalesca flor do fumo,1906-02-09,09/02/1906,"rua saldanha marinho, 32 A, morro do pinto",1,0,6c171,sair no carnaval,,bento carvalho da costa,1,0,0,desfile_carnavalesco,desfile_carnavalesco
355,sociedade recreativa paz de botafogo,1906-02-12,12/02/1906,"rua do dr. Mariano, 16",1,0,6c171,sair no carnaval,,luiz gaudencio,1,0,0,desfile_carnavalesco,desfile_carnavalesco
356,grupo carnavalesco teimosos do engenho velho,1906-02-12,12/02/1906,"rua de são christóvão, 51",1,0,6c171,sair no carnaval,,mauricio antonio marinho,1,0,0,desfile_carnavalesco,desfile_carnavalesco
357,clube carnavalesco pavão de ouro,1906-02-21,21/02/1906,"rua garibalde, 1",1,0,6c171,sair no carnaval,,,1,0,0,desfile_carnavalesco,desfile_carnavalesco
358,grupo carnavalesco [rasgado] conselheiro,1906-02-21,21/02/1906,"rua do conselheiro zacharias, 128",1,0,6c171,sair no carnaval,só se organiza no carnaval,,0,0,0,desfile_carnavalesco,desfile_carnavalesco
359,grupo carnavalesco estrela do engenho velho,1906-02-12,12/02/1906,"rua d. amélia, 1",1,0,6c171,licença anual,,,0,0,0,licenca_anual,licenca_anual
360,grupo carnavalesco estrela de ouro,1906-02-24,24/02/1906,"praia da engenhoca, ilha do governador",1,0,6c171,sair no carnaval,,antonio de salles paiva,0,0,0,desfile_carnavalesco,desfile_carnavalesco
361,grêmio carnavalesco estrela da aurora,1906-02-10,10/02/1906,"marco seis, bangu",1,1,6c171,aprovação de estatutos e licença anual,,,0,0,0,estatutos_anual,estatutos|licenca_anual
362,congresso dramático doze de novembro,1906-02-03,03/02/1906,"rua do bom jardim, 58",1,0,6c171,licença anual,diretoria,Manoel de mello filho (secretário,0,1,0,licenca_anual,licenca_anual
363,sociedade carnavalesca filhos do relmapago do novo mundo,1906-02-20,20/02/1906,"rua dr. Rego barros, 65",1,0,6c171,sair no carnaval,,euzebio osorio p. e silva,1,0,0,desfile_carnavalesco,desfile_carnavalesco
364,sociedade terror das chamas,1906-02-20,20/02/1906,"rua pte. Barros, 142",1,0,6c171,sair no carnaval,,,1,0,0,desfile_carnavalesco,desfile_carnavalesco
365,clube carnavalesco estrela brilhantina,1906-02-22,22/02/1906,"ladeira do barroso, 67",1,0,6c171,sair no carnaval,pede tb policiais para o desfile,domingos prenholate,1,0,0,desfile_carnavalesco,desfile_carnavalesco
366,grupo carnavalesco filhos da lira de ouro,1906-02-07,07/02/1906,"rua do livramento, 142",1,1,6c171,aprovação de estatutos e licença anual,formado por menores e aprendizes de artistas. Diretoria. Ver img 4522 - 4528,josé tavares de araújo,0,0,0,estatutos_anual,estatutos|licenca_anual
367,grupo carnavalesco prazer das crianças,1906-02-12,12/02/1906,"rua dr. Pessoa de barros, 57",1,0,6c171,sair no carnaval,socios e moradias,joão g. oliveira,0,1,0,desfile_carnavalesco,desfile_carnavalesco
368,grupo flor da lyra,1906-02-19,19/02/1906,bangu,1,0,6c171,renovação de licença,,,1,0,0,renovacao,renovacao
369,sociedade carnavalesca herois de botafogo,1906-02-13,13/02/1906,"rua são clemente, 89",1,0,6c171,licença anual,,franklin de carvalho brandão,1,0,0,licenca_anual,licenca_anual
370,grêmio carnavalesco fada da gruta verde,1906-02-14,14/02/1906,"rua do morro do barro vermelho, 9",1,0,6c171,sair no carnaval,,miguel alavasse,1,0,0,desfile_carnavalesco,desfile_carnavalesco
371,grupo carnavalesco república do brasil,1906-02-19,19/02/1906,"ladeira do barroso, 27",1,0,6c171,sair no carnaval,,arthur pereira de jesus (vice),1,0,0,desfile_carnavalesco,desfile_carnavalesco
372,grupo carnavalesco flor da lira,1906-02-18,18/02/1906,bangu,0,0,6c171,licença anual,,joão maia,1,0,0,licenca_anual,licenca_anual
373,grupo carnavalesco luz do povo,1906-02-10,10/02/1906,"rua senador euzebio, 214, sobrado",1,0,6c171,sair no carnaval,ver img 4518,manoel de pinho junior,1,0,0,desfile_carnavalesco,desfile_carnavalesco
374,grupo carnavalesco sereia de ouro,1906-02-16,16/02/1906,"rua petrocogino, 3",1,0,6c171,sair no carnaval,,onofre de sousa marques,1,0,0,desfile_carnavalesco,desfile_carnavalesco
375,grupo carnavalesco filhos das puras,1906-02-24,24/02/1906,"senador euzebio, 330",1,0,6c171,sair em passeata,,joaquim de mesquita,0,0,0,passeata,passeata
376,sociedade união dançante m. prazer da infância,1906-02-13,13/02/1906,rua são chritsóvão. 203,1,0,6c171,licena anual,,antonio alves da silva,1,0,0,licenca_anual,licenca_anual
377,sociedade carnavalesca terror das chamas,1906-02-19,19/02/1906,"rua presidente barroso, 142",0,0,6c171,sair no carnaval,sócios,arlindo da costa babtista,0,1,0,desfile_carnavalesco,desfile_carnavalesco
378,sociedade carnavalesca estrela da rua larga,1906-02-20,20/02/1906,"rua marechal floriano peixoto, 145",1,0,6c171,sair no carnaval,,m. cardozo,1,0,0,desfile_carnavalesco,desfile_carnavalesco
379,grupo carnavalesco flor do barrozo,1906-02-23,23/02/1906,"ladeira do barroso, 111 A",1,0,6c171,sair no carnaval,,alcides correira da silva,1,0,0,desfile_carnavalesco,desfile_carnavalesco
380,grupo carnavalesco filhos da lira de ouro,1906-02-23,23/02/1906,"rua do livramento, 142",1,0,6c171,sair no carnaval,,josé tavares de araújo,1,0,0,desfile_carnavalesco,desfile_carnavalesco
381,sociedade dançante carnavalesca estrela da boa vista,1906-02-20,20/02/1906,"rua cisconde sapucahy, 43",1,0,6c171,sair no carnaval,,luiz pereira da motta,1,0,0,desfile_carnavalesco,desfile_carnavalesco
382,grupo carnavalesco filhos da flor do propósito,1906-02-20,20/02/1906,"rua cunha barboza, 21",1,0,6c171,sair no carnaval,,bernardo dos santos (encarregado),1,0,0,desfile_carnavalesco,desfile_carnavalesco
383,grupo carnavalesco infantes filhos dos cloves,1906-02-20,20/02/1906,"rua dos cajueiros, 25",1,0,6c171,sair no carnaval,,manoel gonçalves,1,0,0,desfile_carnavalesco,desfile_carnavalesco
384,grupo carnavalesco filhos dos herois brasileiros,1906-02-22,22/02/1906,"ruado monte, 6",0,0,6c171,sair no carnaval,associados,affonso vianna,0,1,0,desfile_carnavalesco,desfile_carnavalesco
385,sociedade dançante carnavalesca estrela encantada,1906-02-14,14/02/1906,"rua daniel carneiro, 59, encantado",1,0,6c171,sair no carnaval,,manoel augusto da silva,1,0,0,desfile_carnavalesco,desfile_carnavalesco
386,sociedade dançante carnavalesca condor de ouro,1906-02-17,17/02/1906,"rua barão de mesquita, 20",1,0,6c171,sair no carnaval,,albertino barboza dos dantos (tesoureiro),1,0,0,desfile_carnavalesco,desfile_carnavalesco
387,sociedade carnavalesca filhos da lira,1906-02-16,16/02/1906,"rua vsconde silva, 8, botafogo",1,0,6c171,sair no carnaval,,joão reminger,1,0,0,desfile_carnavalesco,desfile_carnavalesco
388,grupo dançante carnavalesco amantes de santa thereza,1906-02-20,20/02/1906,"rua laura, 2",1,0,6c171,sair no carnaval,,manoel lopes (secretário),1,0,0,desfile_carnavalesco,desfile_carnavalesco
389,sociedade carnavalesca caprichosos do espírito santo,1906-02-17,17/02/1906,"rua são roberto, 34",1,0,6c171,sair no carnaval,,antonio vieira,1,0,0,desfile_carnavalesco,desfile_carnavalesco
390,grupo carnavalesco martires da inveja,1906-02-19,19/02/1906,"rua sara, 23, morro do pinto",1,0,6c171,sair no carnaval e mudança de sede,,ernesto manoel da silva,1,0,0,desfile_carnavalesco,desfile_carnavalesco|mudanca_administrativa
391,grupo carnavalesco mouros brasileiros,1906-02-21,21/02/1906,"beco do guindaste, 1",1,0,6c171,sair no carnaval,,feliciano de vasconcelos,1,0,0,desfile_carnavalesco,desfile_carnavalesco
392,grupo amantes da prontidão,1906-02-22,22/02/1906,"rua do riachuelo, 10",1,0,6c171,sair no carnaval,,octavio de almeida gouvea,1,0,0,desfile_carnavalesco,desfile_carnavalesco
393,mensageiros da folia,1906-02-22,22/02/1906,"rua barão de são felix, 168",1,0,6c171,sair no carnaval,sócios. Só se organiza no carnaval,eduardo lindolpho de figueiredo e joão martins,0,1,0,desfile_carnavalesco,desfile_carnavalesco
394,grupo carnavalesco amor perfeito,1906-02-22,22/02/1906,"rua visconde de sapucahy, 4",1,0,6c171,sair no carnaval,sócios e moradias,antonio cardozo guimarães,1,1,0,desfile_carnavalesco,desfile_carnavalesco
395,grupo carnavalesco flor da juventude,1906-02-20,20/02/1906,"rua sarah, 5",1,0,6c171,sair no carnaval,só se organiza no carnaval,augusto vitor do espírito santo,1,0,0,desfile_carnavalesco,desfile_carnavalesco
396,sociedade carnavalesca filhos do relampago do novo mundo,1906-02-20,20/02/1906,"rua dr. Rego barros, 65",1,0,6c171,licença anual,,euzebio ozorio p. silva,1,0,0,licenca_anual,licenca_anual
397,grupo carnavalesco filhos da cacheira,1906-02-14,14/02/1906,"rua curuzu, 17, são christóvão",1,0,6c171,sair no carnaval,sócios e moradias,ernando de souza coelho,1,1,0,desfile_carnavalesco,desfile_carnavalesco
398,grupo do galo,1906-02-23,23/02/1906,"rua theodoro da silva, 58",1,0,6c171,sair no primeiro dia de carnaval,,nestor martins da rocha,1,0,0,desfile_carnavalesco,desfile_carnavalesco
399,grupo musical verdadeiros caras de gato,1906-02-22,22/02/1906,"rua do lavradio, 99",1,0,6c171,sair no carnaval,sócios e moradias,paulo da conceição,1,1,0,desfile_carnavalesco,desfile_carnavalesco
400,sociedade carnavalesca recreativa choro da lira,1906-02-17,17/02/1906,"ladeira dos guararapes, 20, glória",1,0,6c171,sair no carnaval,sócios,fructuoso ribeiro barboza,1,1,0,desfile_carnavalesco,desfile_carnavalesco
401,sociedade carnavalesca filhos da mina de ouro,1906-02-17,17/02/1906,"presidente barrozo, 58",1,0,6c171,sair no carnaval,,josé barrozo amorin,1,0,0,desfile_carnavalesco,desfile_carnavalesco
402,grupo carnavalesco inimigos do trabalho,1906-02-17,17/02/1906,"rua hadhock lobo, 92",1,0,6c171,sair no carnaval com zé pereira,itinerário,zeferino pereira de menezes,1,0,0,desfile_carnavalesco,desfile_carnavalesco|ze_pereira
403,grupo carnavalesco filhos das puras,1906-02-23,23/02/1906,"rua senador euzebio, 330",0,0,6c171,sair no carnaval na segunda-feira,"itinerário, sócios e moradias",joaquim de mesquita,0,1,0,desfile_carnavalesco,desfile_carnavalesco
404,sociedade carnavalesca infantes do barrozo,1906-02-07,07/02/1906,"rua do barrozo, 20",1,1,6c171,licença anual e aprovação de estatutos,,francisco pauro,0,0,0,estatutos_anual,estatutos|licenca_anual
